idx,variant_id,transform,target,validation_note,valid_syntax,preserves_semantics,exclude,auditor_notes,func_excerpt
10849,10849__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,,,,,"void rgb15tobgr15(const uint8_t *src, uint8_t *dst, unsigned int src_size)\n\n{\n\n	unsigned i;\n\n	unsigned num_pixels = src_size >> 1;\n\n	for(i=0; i<num_pixels; i++)\n\n	{\n\n	    unsigned b,g,r;\n\n	    register uint16_t rgb;\n\n	    rgb = src[2*i];\n\n	    r = rgb&0x1F;\n\n	    g = (rgb&0x3E0)>>5;\n\n	    b = (rgb&0x7C00)>>10;\n\n	    dst[2*i] = (b&0x1F) | ((g&0x1F)<<5) | ((r&0x1F)<<10);\n\n	}\n\n}\n"
937,937__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,,,,,"static target_ulong h_put_tce(CPUPPCState *env, sPAPREnvironment *spapr,\n\n                              target_ulong opcode, target_ulong *args)\n\n{\n\n    target_ulong liobn = args[0];\n\n    target_ulong ioba = args[1];\n\n    target_ulong tce = args[2];\n\n    VIOsPAPRDevice *dev = spapr_vio_find_by_reg(spapr->vio_bus, liobn);\n\n    VIOsPAPR_RTCE *rtce;\n\n    if (!dev) {\n\n        hcall_dprintf(""LIOBN 0x"" TARGET_FMT_lx "" does not exist\n"", liobn);\n\n        return H_PARAMETER;\n\n    }\n\n\n\n    ioba &= ~(SPAPR_VIO_TCE_PAGE_SIZE - 1);\n\n\n\n#ifdef DEBUG_TCE\n\n    fprintf(stderr, ""spapr_vio_put_tce on %s  ioba 0x"" TARGET_FMT_lx\n\n            ""  TCE 0x"" TARGET_FMT_lx ""\n"", dev->qdev.id, ioba, tce);\n\n#endif\n\n\n\n    if (ioba >= dev->rtce_window_size) {\n\n        hcall_dprintf(""Out-of-bounds IOBA 0x"" TARGET_FMT_lx """
23339,23339__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,,,,,"target_ulong helper_ldl(CPUMIPSState *env, target_ulong arg1,\n\n                        target_ulong arg2, int mem_idx)\n\n{\n\n    uint64_t tmp;\n\n    tmp = do_lbu(env, arg2, mem_idx);\n\n    arg1 = (arg1 & 0x00FFFFFFFFFFFFFFULL) | (tmp << 56);\n\n    if (GET_LMASK64(arg2) <= 6) {\n\n        tmp = do_lbu(env, GET_OFFSET(arg2, 1), mem_idx);\n\n        arg1 = (arg1 & 0xFF00FFFFFFFFFFFFULL) | (tmp << 48);\n\n    }\n\n\n\n    if (GET_LMASK64(arg2) <= 5) {\n\n        tmp = do_lbu(env, GET_OFFSET(arg2, 2), mem_idx);\n\n        arg1 = (arg1 & 0xFFFF00FFFFFFFFFFULL) | (tmp << 40);\n\n    }\n\n\n\n    if (GET_LMASK64(arg2) <= 4) {\n\n        tmp = do_lbu(env, GET_OFFSET(arg2, 3), mem_idx);\n\n        arg1 = (arg1 & 0xFFFFFF00FFFFFFFFULL) | (tmp << 32);\n\n    }\n\n\n\n    if (GET_LMASK64(arg2) <= 3) {\n\n        tmp = do_lbu(env, GET_OFFS"
3721,3721__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,,,,,"static int create_filter(AVFilterContext **filt_ctx, AVFilterGraph *ctx, int index,\n\n                         const char *filt_name, const char *args, AVClass *log_ctx)\n\n{\n\n    AVFilter *filt;\n\n    char inst_name[30];\n\n    char tmp_args[256];\n\n    int ret;\n\n    snprintf(inst_name, sizeof(inst_name), ""Parsed filter %d %s"", index, filt_name);\n\n    filt = avfilter_get_by_name(filt_name);\n\n\n\n    if (!filt) {\n\n        av_log(log_ctx, AV_LOG_ERROR,\n\n               ""No such filter: '%s'\n"", filt_name);\n\n        return AVERROR(EINVAL);\n\n    }\n\n\n\n    ret = avfilter_open(filt_ctx, filt, inst_name);\n\n    if (!*filt_ctx) {\n\n        av_log(log_ctx, AV_LOG_ERROR,\n\n               ""Error creating filter '%s'\n"", filt_name);\n\n        return ret;\n\n    }\n\n\n\n    if ((ret = avfilter_graph_add_filter(ctx, *filt"
3834,3834__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"static unsigned int dec_move_mr(DisasContext *dc)\n\n{\n\n	int memsize = memsize_zz(dc);\n\n	int insn_len;\n\n	DIS(fprintf (logfile, ""move.%c [$r%u%s, $r%u\n"",\n\n		    memsize_char(memsize),\n\n		    dc->op1, dc->postinc ? ""+]"" : ""]"",\n\n		    dc->op2));\n\n	if (memsize == 4) {\n\n		insn_len = dec_prep_move_m(dc, 0, 4, cpu_R[dc->op2]);\n\n		cris_cc_mask(dc, CC_MASK_NZ);\n\n		cris_update_cc_op(dc, CC_OP_MOVE, 4);\n\n		cris_update_cc_x(dc);\n\n		cris_update_result(dc, cpu_R[dc->op2]);\n\n	}\n\n	else {\n\n		TCGv t0;\n\n\n\n		t0 = tcg_temp_new(TCG_TYPE_TL);\n\n		insn_len = dec_prep_move_m(dc, 0, memsize, t0);\n\n		cris_cc_mask(dc, CC_MASK_NZ);\n\n		cris_alu(dc, CC_OP_MOVE,\n\n			    cpu_R[dc->op2], cpu_R[dc->op2], t0, memsize);\n\n		tcg_temp_free(t0);\n\n	}\n\n	do_postinc(dc, memsize);\n\n	return insn_len;\n\n}\n"
23299,23299__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,,,,,"static int decode_mb_cavlc(H264Context *h){\n\n    MpegEncContext * const s = &h->s;\n\n    const int mb_xy= s->mb_x + s->mb_y*s->mb_stride;\n\n    int partition_count;\n\n    unsigned int mb_type, cbp;\n\n    int dct8x8_allowed= h->pps.transform_8x8_mode;\n\n    s->dsp.clear_blocks(h->mb); //FIXME avoid if already clear (move after skip handlong?\n\n\n\n    tprintf(s->avctx, ""pic:%d mb:%d/%d\n"", h->frame_num, s->mb_x, s->mb_y);\n\n    cbp = 0; /* avoid warning. FIXME: find a solution without slowing\n\n                down the code */\n\n    if(h->slice_type != I_TYPE && h->slice_type != SI_TYPE){\n\n        if(s->mb_skip_run==-1)\n\n            s->mb_skip_run= get_ue_golomb(&s->gb);\n\n\n\n        if (s->mb_skip_run--) {\n\n            if(FRAME_MBAFF && (s->mb_y&1) == 0){\n\n                if(s->mb_skip_run==0)\n\n       "
1227,1227__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"void qmp_block_stream(const char *device, bool has_base,\n\n                      const char *base, Error **errp)\n\n{\n\n    BlockDriverState *bs;\n\n    BlockDriverState *base_bs = NULL;\n\n    Error *local_err = NULL;\n\n    bs = bdrv_find(device);\n\n    if (!bs) {\n\n        error_set(errp, QERR_DEVICE_NOT_FOUND, device);\n\n        return;\n\n    }\n\n\n\n    if (base) {\n\n        base_bs = bdrv_find_backing_image(bs, base);\n\n        if (base_bs == NULL) {\n\n            error_set(errp, QERR_BASE_NOT_FOUND, base);\n\n            return;\n\n        }\n\n    }\n\n\n\n    stream_start(bs, base_bs, base, block_stream_cb, bs, &local_err);\n\n    if (error_is_set(&local_err)) {\n\n        error_propagate(errp, local_err);\n\n        return;\n\n    }\n\n\n\n    /* Grab a reference so hotplug does not delete the BlockDriverState from\n\n    "
3076,3076__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,,,,,"void qemu_spice_create_host_primary(SimpleSpiceDisplay *ssd)\n\n{\n\n    QXLDevSurfaceCreate surface;\n\n    memset(&surface, 0, sizeof(surface));\n\n    dprint(1, ""%s/%d: %dx%d\n"", __func__, ssd->qxl.id,\n\n           surface_width(ssd->ds), surface_height(ssd->ds));\n\n    surface.format     = SPICE_SURFACE_FMT_32_xRGB;\n\n    surface.width      = surface_width(ssd->ds);\n\n    surface.height     = surface_height(ssd->ds);\n\n    surface.stride     = -surface.width * 4;\n\n    surface.mouse_mode = true;\n\n    surface.flags      = 0;\n\n    surface.type       = 0;\n\n    surface.mem        = (uintptr_t)ssd->buf;\n\n    surface.group_id   = MEMSLOT_GROUP_HOST;\n\n\n\n    qemu_spice_create_primary_surface(ssd, 0, &surface, QXL_SYNC);\n\n}\n"
19256,19256__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"static int qpa_init_in (HWVoiceIn *hw, audsettings_t *as)\n\n{\n\n    int error;\n\n    static pa_sample_spec ss;\n\n    audsettings_t obt_as = *as;\n\n    PAVoiceIn *pa = (PAVoiceIn *) hw;\n\n    ss.format = audfmt_to_pa (as->fmt, as->endianness);\n\n    ss.channels = as->nchannels;\n\n    ss.rate = as->freq;\n\n\n\n    obt_as.fmt = pa_to_audfmt (ss.format, &obt_as.endianness);\n\n\n\n    pa->s = pa_simple_new (\n\n        conf.server,\n\n        ""qemu"",\n\n        PA_STREAM_RECORD,\n\n        conf.source,\n\n        ""pcm.capture"",\n\n        &ss,\n\n        NULL,                   /* channel map */\n\n        NULL,                   /* buffering attributes */\n\n        &error\n\n        );\n\n    if (!pa->s) {\n\n        qpa_logerr (error, ""pa_simple_new for capture failed\n"");\n\n        goto fail1;\n\n    }\n\n\n\n    audio_pcm_init_info ("
25149,25149__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,,,,,static av_cold int rv40_decode_init(AVCodecContext *avctx)\n\n{\n\n    RV34DecContext *r = avctx->priv_data;\n\n    r->rv30 = 0;\n\n    ff_rv34_decode_init(avctx);\n\n    if(!aic_top_vlc.bits)\n\n        rv40_init_tables();\n\n    r->parse_slice_header = rv40_parse_slice_header;\n\n    r->decode_intra_types = rv40_decode_intra_types;\n\n    r->decode_mb_info     = rv40_decode_mb_info;\n\n    r->loop_filter        = rv40_loop_filter;\n\n    r->luma_dc_quant_i = rv40_luma_dc_quant[0];\n\n    r->luma_dc_quant_p = rv40_luma_dc_quant[1];\n\n    return 0;\n\n}\n
25711,25711__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"static SocketAddressLegacy *tcp_build_address(const char *host_port, Error **errp)\n\n{\n\n    InetSocketAddress *iaddr = g_new(InetSocketAddress, 1);\n\n    SocketAddressLegacy *saddr;\n\n    if (inet_parse(iaddr, host_port, errp)) {\n\n        qapi_free_InetSocketAddress(iaddr);\n\n        return NULL;\n\n    }\n\n\n\n    saddr = g_new0(SocketAddressLegacy, 1);\n\n    saddr->type = SOCKET_ADDRESS_LEGACY_KIND_INET;\n\n    saddr->u.inet.data = iaddr;\n\n\n\n    return saddr;\n\n}\n"
9434,9434__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,,,,,"static int64_t nfs_client_open(NFSClient *client, const char *filename,\n\n                               int flags, Error **errp)\n\n{\n\n    int ret = -EINVAL, i;\n\n    struct stat st;\n\n    URI *uri;\n\n    QueryParams *qp = NULL;\n\n    char *file = NULL, *strp = NULL;\n\n    uri = uri_parse(filename);\n\n    if (!uri) {\n\n        error_setg(errp, ""Invalid URL specified"");\n\n        goto fail;\n\n    }\n\n    if (!uri->server) {\n\n        error_setg(errp, ""Invalid URL specified"");\n\n        goto fail;\n\n    }\n\n    strp = strrchr(uri->path, '/');\n\n    if (strp == NULL) {\n\n        error_setg(errp, ""Invalid URL specified"");\n\n        goto fail;\n\n    }\n\n    file = g_strdup(strp);\n\n    *strp = 0;\n\n\n\n    client->context = nfs_init_context();\n\n    if (client->context == NULL) {\n\n        error_setg(errp, ""Failed to ini"
23758,23758__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"void HELPER(stby_b)(CPUHPPAState *env, target_ulong addr, target_ulong val)\n\n{\n\n    uintptr_t ra = GETPC();\n\n    switch (addr & 3) {\n\n    case 3:\n\n        cpu_stb_data_ra(env, addr, val, ra);\n\n        break;\n\n    case 2:\n\n        cpu_stw_data_ra(env, addr, val, ra);\n\n        break;\n\n    case 1:\n\n        /* The 3 byte store must appear atomic.  */\n\n        if (parallel_cpus) {\n\n            atomic_store_3(env, addr, val, 0x00ffffffu, ra);\n\n        } else {\n\n            cpu_stb_data_ra(env, addr, val >> 16, ra);\n\n            cpu_stw_data_ra(env, addr + 1, val, ra);\n\n        }\n\n        break;\n\n    default:\n\n        cpu_stl_data_ra(env, addr, val, ra);\n\n        break;\n\n    }\n\n}\n"
21034,21034__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,,,,,"static void host_cpuid(uint32_t function, uint32_t count,\n\n                       uint32_t *eax, uint32_t *ebx,\n\n                       uint32_t *ecx, uint32_t *edx)\n\n{\n\n#if defined(CONFIG_KVM)\n\n    uint32_t vec[4];\n\n#ifdef __x86_64__\n\n    asm volatile(""cpuid""\n\n                 : ""=a""(vec[0]), ""=b""(vec[1]),\n\n                   ""=c""(vec[2]), ""=d""(vec[3])\n\n                 : ""0""(function), ""c""(count) : ""cc"");\n\n#else\n\n    asm volatile(""pusha \n\t""\n\n                 ""cpuid \n\t""\n\n                 ""mov %%eax, 0(%1) \n\t""\n\n                 ""mov %%ebx, 4(%1) \n\t""\n\n                 ""mov %%ecx, 8(%1) \n\t""\n\n                 ""mov %%edx, 12(%1) \n\t""\n\n                 ""popa""\n\n                 : : ""a""(function), ""c""(count), ""S""(vec)\n\n                 : ""memory"", ""cc"");\n\n#endif\n\n\n\n    if (eax)\n\n	*eax "
26003,26003__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"static void vnc_display_print_local_addr(VncDisplay *vd)\n\n{\n\n    SocketAddressLegacy *addr;\n\n    Error *err = NULL;\n\n    if (!vd->nlsock) {\n\n        return;\n\n    }\n\n\n\n    addr = qio_channel_socket_get_local_address(vd->lsock[0], &err);\n\n    if (!addr) {\n\n        return;\n\n    }\n\n\n\n    if (addr->type != SOCKET_ADDRESS_LEGACY_KIND_INET) {\n\n        qapi_free_SocketAddressLegacy(addr);\n\n        return;\n\n    }\n\n    error_printf_unless_qmp(""VNC server running on %s:%s\n"",\n\n                            addr->u.inet.data->host,\n\n                            addr->u.inet.data->port);\n\n    qapi_free_SocketAddressLegacy(addr);\n\n}\n"
3811,3811__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"static void tcg_out_insn_3314(TCGContext *s, AArch64Insn insn,\n\n                              TCGReg r1, TCGReg r2, TCGReg rn,\n\n                              tcg_target_long ofs, bool pre, bool w)\n\n{\n\n    insn |= 1u << 31; /* ext */\n\n    insn |= pre << 24;\n\n    insn |= w << 23;\n\n    assert(ofs >= -0x200 && ofs < 0x200 && (ofs & 7) == 0);\n\n    insn |= (ofs & (0x7f << 3)) << (15 - 3);\n\n    tcg_out32(s, insn | r2 << 10 | rn << 5 | r1);\n\n}\n"
1108,1108__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"static void test_qemu_strtoull_overflow(void)\n\n{\n\n    const char *str = ""99999999999999999999999999999999999999999999"";\n\n    char f = 'X';\n\n    const char *endptr = &f;\n\n    uint64_t res = 999;\n\n    int err;\n\n    err = qemu_strtoull(str, &endptr, 0, &res);\n\n\n\n    g_assert_cmpint(err, ==, -ERANGE);\n\n    g_assert_cmpint(res, ==, ULLONG_MAX);\n\n    g_assert(endptr == str + strlen(str));\n\n}\n"
13829,13829__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"static void sm501_disp_ctrl_write(void *opaque, hwaddr addr,\n\n                                  uint64_t value, unsigned size)\n\n{\n\n    SM501State *s = (SM501State *)opaque;\n\n    SM501_DPRINTF(""sm501 disp ctrl regs : write addr=%x, val=%x\n"",\n\n                  (unsigned)addr, (unsigned)value);\n\n    switch (addr) {\n\n    case SM501_DC_PANEL_CONTROL:\n\n        s->dc_panel_control = value & 0x0FFF73FF;\n\n        break;\n\n    case SM501_DC_PANEL_PANNING_CONTROL:\n\n        s->dc_panel_panning_control = value & 0xFF3FFF3F;\n\n        break;\n\n    case SM501_DC_PANEL_FB_ADDR:\n\n        s->dc_panel_fb_addr = value & 0x8FFFFFF0;\n\n        break;\n\n    case SM501_DC_PANEL_FB_OFFSET:\n\n        s->dc_panel_fb_offset = value & 0x3FF03FF0;\n\n        break;\n\n    case SM501_DC_PANEL_FB_WIDTH:\n\n        s->dc_panel_fb_w"
5104,5104__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"static void qdict_crumple_test_recursive(void)\n\n{\n\n    QDict *src, *dst, *rule, *vnc, *acl, *listen;\n\n    QObject *child, *res;\n\n    QList *rules;\n\n    src = qdict_new();\n\n    qdict_put(src, ""vnc.listen.addr"", qstring_from_str(""127.0.0.1""));\n\n    qdict_put(src, ""vnc.listen.port"", qstring_from_str(""5901""));\n\n    qdict_put(src, ""vnc.acl.rules.0.match"", qstring_from_str(""fred""));\n\n    qdict_put(src, ""vnc.acl.rules.0.policy"", qstring_from_str(""allow""));\n\n    qdict_put(src, ""vnc.acl.rules.1.match"", qstring_from_str(""bob""));\n\n    qdict_put(src, ""vnc.acl.rules.1.policy"", qstring_from_str(""deny""));\n\n    qdict_put(src, ""vnc.acl.default"", qstring_from_str(""deny""));\n\n    qdict_put(src, ""vnc.acl..name"", qstring_from_str(""acl0""));\n\n    qdict_put(src, ""vnc.acl.rule..name"", qstring_from_str(""acl0""));\n\n\n\n"
15823,15823__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,,,,,"static void input_linux_event_mouse(void *opaque)\n\n{\n\n    InputLinux *il = opaque;\n\n    struct input_event event;\n\n    int rc;\n\n    for (;;) {\n\n        rc = read(il->fd, &event, sizeof(event));\n\n        if (rc != sizeof(event)) {\n\n            if (rc < 0 && errno != EAGAIN) {\n\n                fprintf(stderr, ""%s: read: %s\n"", __func__, strerror(errno));\n\n                qemu_set_fd_handler(il->fd, NULL, NULL, NULL);\n\n                close(il->fd);\n\n            }\n\n            break;\n\n        }\n\n\n\n        input_linux_handle_mouse(il, &event);\n\n    }\n\n}\n"
1507,1507__brace_line_shift,brace_line_shift,1,first function opening brace shifted,,,,,"static inline void gen_op_arith_add(DisasContext *ctx, TCGv ret, TCGv arg1,\n\n                                    TCGv arg2, int add_ca, int compute_ca,\n\n                                    int compute_ov)\n{\n\n    TCGv t0, t1;\n\n\n\n    if ((!compute_ca && !compute_ov) ||\n\n        (!TCGV_EQUAL(ret,arg1) && !TCGV_EQUAL(ret, arg2)))  {\n\n        t0 = ret;\n\n    } else {\n\n        t0 = tcg_temp_local_new();\n\n    }\n\n\n\n    if (add_ca) {\n\n        t1 = tcg_temp_local_new();\n\n        tcg_gen_mov_tl(t1, cpu_ca);\n\n    } else {\n\n        TCGV_UNUSED(t1);\n\n    }\n\n\n\n    if (compute_ca) {\n\n        /* Start with XER CA disabled, the most likely case */\n\n        tcg_gen_movi_tl(cpu_ca, 0);\n\n    }\n\n    if (compute_ov) {\n\n        /* Start with XER OV disabled, the most likely case */\n\n        tcg_gen_movi_tl(cpu_ov,"
5327,5327__brace_line_shift,brace_line_shift,1,first function opening brace shifted,,,,,"uint8_t ff_mlp_calculate_parity(const uint8_t *buf, unsigned int buf_size)\n{\n\n    uint32_t scratch = 0;\n\n    const uint8_t *buf_end = buf + buf_size;\n\n\n\n\n\n    for (; buf < buf_end - 3; buf += 4)\n\n        scratch ^= *((const uint32_t*)buf);\n\n\n\n    scratch = xor_32_to_8(scratch);\n\n\n\n    for (; buf < buf_end; buf++)\n\n\n\n\n    return scratch;\n\n}"
